,Year,US Population,Shell Total,Shell Per Capita,Processed Total,Processed Per Capita,Total Farm Weight Count,Total Farm Weight Count Per Capita,Total Farm Weight Pounds,Total Farm Weight Pounds Per Capita,Total Retail Weight Count,Total Retail Weight Count Per Capita,Total Retai Weight Pounds,Total Retail Weight Pounds Per Capita
5,1909,90.49,,,,,26496,292.80583489888386,3466.56,38.30876339927064,3362.5632,37.15950049729252,25701.12,284.0216598519173
6,1910,92.407,,,,,28272,305.9508478794897,3698.92,40.028569264233234,3587.9524,38.827712186306236,27423.84,296.772322443105
7,1911,93.863,,,,,30900,329.2032004091069,4042.75,43.07075205352482,3921.4674999999997,41.77862949191907,29973,319.3271043968337
8,1912,95.335,,,,,29688,311.4071432317617,3884.1800000000003,40.74243457282216,3767.6546000000003,39.52016153563749,28797.36,302.06492893480885
9,1913,97.225,,,,,29484,303.2553355618411,3857.4900000000002,39.675906402674215,3741.7653,38.485629210593984,28599.48,294.1576754949859
10,1914,99.111,,,,,29268,295.3052637951388,3829.23,38.635772013197325,3714.3531,37.4766988528014,28389.96,286.4461058812846
11,1915,100.546,,,,,31464,312.9313945855628,4116.54,40.9418574582778,3993.0438,39.71360173452947,30520.079999999998,303.5434527479959
12,1916,101.961,,,,,30504,299.17321328743344,3990.94,39.14182873843921,3871.2118,37.96757387628603,29588.879999999997,290.1980168888104
13,1917,103.414,,,,,29088,281.2771965111107,3805.6800000000003,36.80043321020365,3691.5096000000003,35.69642021389754,28215.36,272.8388806157774
14,1918,104.55,,,,,29724,284.3041606886657,3888.8900000000003,37.19646102343377,3772.2233,36.080567192730754,28832.28,275.7750358680057
15,1919,105.063,,,,,31848,303.1324062705234,4166.78,39.659823153726805,4041.7765999999997,38.47002845911501,30892.559999999998,294.03843408240766
16,1920,106.461,,,,,31884,299.48995406768677,4171.49,39.18326899052235,4046.3452999999995,38.00777092080668,30927.48,290.50525544565613
17,1921,108.538,,,,,32508,299.5080064125007,4253.13,39.18563083896884,4125.5361,38.01006191379978,31532.76,290.5227662201257
18,1922,110.049,,,,,34764,315.89564648474766,4548.29,41.32968041508782,4411.8413,40.08979000263519,33721.08,306.41877709020525
19,1923,111.947,,,,,36552,326.5116528357169,4782.22,42.718607912672965,4638.7534000000005,41.437049675292776,35455.44,316.7163032506454
20,1924,114.109,,,,,36996,324.21631948400216,4840.31,42.41830179915695,4695.1007,41.14575274518224,35886.12,314.4898298994821
21,1925,115.829,,,,,36840,318.0550639304492,4819.900000000001,41.61220419756711,4675.303000000001,40.363838071640096,35734.799999999996,308.5134120125357
22,1926,117.397,,,,,39744,338.5435743673177,5199.84,44.2927843130574,5043.8448,42.964000783665675,38551.68,328.3872671362982
23,1927,119.035,,,,,40704,341.9498466837485,5325.4400000000005,44.738438274457096,5165.6768,43.39628512622338,39482.88,331.69135128323603
24,1928,120.509,,,,,40764,338.2651918114,5333.29,44.25636259532483,5173.2913,42.928671717465086,39541.08,328.117236057058
25,1929,121.767,,,,,40716,334.3763088521521,5327.01,43.74756707482323,5167.1997,42.43514006257853,39494.52,324.3450195865875
26,1930,123.188,,,,,40776,331.0062668441731,5334.860000000001,43.306653245445986,5174.814200000001,42.00745364808261,39552.72,321.07607883884793
27,1931,124.149,,,,,41268,332.4070270400889,5399.2300000000005,43.48991937107831,5237.2531,42.18522178994595,40029.96,322.43481622888623
28,1932,124.949,,,,,39096,312.89566142986337,5115.06,40.93718237040713,4961.608200000001,39.70906689929492,37923.119999999995,303.50879158696745
29,1933,125.69,,,,,37236,296.2526851778184,4871.71,38.75972631076458,4725.5587,37.59693452144164,36118.92,287.3651046224839
30,1934,126.485,,,,,36480,288.41364588686406,4772.8,37.73411867019805,4629.616,36.60209511009211,35385.6,279.76123651025813
31,1935,127.362,,,,,35568,279.2669713101239,4653.4800000000005,36.53742874640788,4513.8756,35.44130588401564,34500.96,270.8889621708202
32,1936,128.181,,,,,36972,288.43588363329974,4837.17,37.737028108690055,4692.0549,36.60491726542935,35862.84,279.78280712430075
33,1937,128.961,,,,,39684,307.72093888850117,5191.99,40.26015617124556,5036.230299999999,39.05235148610819,38493.479999999996,298.4893107218461
34,1938,129.969,,,,,40284,309.9508344297486,5270.49,40.55190083789211,5112.3753,39.33534381275535,39075.479999999996,300.65230939685614
35,1939,131.028,,,,,40980,312.7575785328327,5361.55,40.91911652471228,5200.7035,39.691543028970905,39750.6,303.3748511768477
36,1940,132.122,,,,,42120,318.79626405897574,5510.7,41.70917788104933,5345.379,40.457902544617845,40856.4,309.2323761372065
37,1941,133.402,,,,,41772,313.12873869956974,5465.17,40.967676646527046,5301.2149,39.73864634713123,40518.84,303.7348765385826
38,1942,134.86,,,,,43776,324.60329230312914,5727.360000000001,42.46893074299273,5498.265600000001,40.77017351327302,42024.96,311.61916061100396
39,1943,136.739,,,,,49272,360.3361147880268,6446.42,47.14397501810018,6188.5632,45.258216017376164,47301.119999999995,345.9226701965057
40,1944,138.397,,,,,51696,373.53410839830343,6763.56,48.87071251544471,6493.0176,46.915884014826915,49628.159999999996,358.5927440623713
41,1945,139.928,,,,,58968,421.4167286032817,7714.9800000000005,55.135355325596024,7406.3808,52.92994111257218,56609.28,404.5600594591504
42,1946,141.389,,,,,54456,385.1501884870817,7124.66,50.39048299372652,6839.673599999999,48.37486367397746,52277.759999999995,369.7441809475984
43,1947,144.126,,,,,55572,385.57928479247323,7270.67,50.446623093681914,7052.5499,48.93322440087146,53904.84,374.011906248699
44,1948,146.631,,,,,58032,395.76897109069705,7592.52,51.779773717699534,7364.7444000000005,50.226380506168546,56291.04,383.89590195797615
45,1949,149.188,,,,,57372,384.5617609995442,7506.17,50.31349706410704,7280.9848999999995,48.80409215218382,55650.84,373.0249081695579
46,1950,151.684,,,,,59364,391.3662614382532,7766.79,51.203752538171464,7533.7863,49.667639962026314,57583.08,379.6252735951056
47,1951,154.287,,,,,61152,396.35225262011704,8000.72,51.856086384465314,7760.6984,50.300403792931355,59317.439999999995,384.4616850415135
48,1952,156.954,,,,,61224,390.07607324439005,8010.14,51.03495291614104,7769.8358,49.5039043286568,59387.28,378.3737910470584
49,1953,159.565,,,,,60540,379.4065114530129,7920.650000000001,49.639018581769186,7683.030500000001,48.149848024316114,58723.799999999996,368.02431610942244
50,1954,162.391,,,,,61044,375.9075318213448,7986.59,49.18123541329261,7746.9923,47.70579835089383,59212.68,364.6303058667045
51,1955,165.275,,,,,61344,371.16321282710635,8025.84,48.56052034487975,7785.0648,47.10370473453335,59503.68,360.02831644229315
52,1956,168.221,,,,,62004,368.5865617253494,8112.1900000000005,48.223408492399884,7868.8243,46.776706237627884,60143.88,357.5289648735889
53,1957,171.274,,,,,61920,361.52597592162266,8101.200000000001,47.299648516412304,7858.164000000001,45.88065906091993,60062.4,350.680196643974
54,1958,174.141,,,,,61620,353.851189553293,8061.950000000001,46.29553063322251,7820.0915,44.90666471422583,59771.4,343.23565386669424
55,1959,177.073,,,,,62268,351.6515787274175,8146.7300000000005,46.00774821683712,7902.328100000001,44.62751577033201,60399.96,341.10203136559494
56,1960,180.671,,,,,60312,333.82225149581285,7890.820000000001,43.67507790403552,7654.0954,42.36482556691445,58502.64,323.80758395093847
57,1961,183.691,,,,,60252,328.0073601864,7882.97,42.914296291054,7646.4809000000005,41.62686740232238,58444.439999999995,318.16713938080795
58,1962,186.538,,,,,60780,325.83173401666147,7952.05,42.629651867179874,7713.4885,41.35076231116448,58956.6,316.0567819961616
59,1963,189.242,,,,,59964,316.8641210724892,7845.29,41.45638917365067,7609.9313,40.21269749844115,58165.08,307.35819744031454
60,1964,191.889,,,,,61008,317.93380548129386,7981.88,41.59633955046928,7742.4236,40.348449363955204,59177.759999999995,308.395791316855
61,1965,194.303,,,,,61116,314.53966228004714,7996.01,41.1522724816395,7756.1297,39.91770430719032,59282.52,305.1034724116457
62,1966,196.56,55728,283.5164835164835,5904,30.036630036630036,61632,313.5531135531136,8063.52,41.02319902319903,7878.05904,40.07966544566545,60214.464,306.3413919413919
63,1967,198.712,57072,287.2096300173115,6828,34.36128668625951,63900,321.570916703571,8360.25,42.07219493538388,8170.472325,41.117156110350656,62449.469999999994,314.2712568943999
64,1968,200.706,57180,284.89432303967,6336,31.56856297270635,63516,316.4628860123763,8310.01,41.403894253285905,8124.696777,40.480587411437625,62099.5932,309.40576365430036
65,1969,202.677,56472,278.6305303512485,6288.8399999999965,31.02887846178894,62760.84,309.6594088130375,8211.2099,40.51377265303907,8030.5632822,39.622469654672216,61380.10152,302.8469018191507
66,1970,205.052,56566.8,275.8656340830619,6774.443999999996,33.037688001092384,63341.244,308.9033220841543,8287.14609,40.414851306010185,8107.315019846999,39.53784903266976,61966.7390052,302.2001199949281
67,1971,207.661,56889.528,273.9538382267253,7465.728000000003,35.95151713610164,64355.256,309.9053553628269,8419.81266,40.545950659969854,8240.470650342,39.6823219109125,62984.489047200004,303.3043712935987
68,1972,209.896,56161.87200000003,267.56999656972994,7441.739999999976,35.454415520066966,63603.61200000001,303.0244120897969,8321.472570000002,39.645693915081765,8146.7216460300015,38.81313434286505,62267.93614800001,296.6608994359112
69,1973,211.909,54461.43599999999,257.0038837425498,6656.4360000000015,31.411766371414153,61117.87199999999,288.415650113964,7996.2549199999985,37.734380889910284,7830.732443155998,36.95327920548914,59852.73204959999,282.44544615660493
70,1974,213.854,53340.31199999999,249.42396214239616,7179.336000000025,33.57120278320735,60519.648000000016,282.9951649256035,7917.987280000002,37.02520074443313,7757.252138216002,36.273589169321134,59291.09914560002,277.25036307761377
71,1975,215.973,52993.319999999985,245.37011570890797,6608.388000000006,30.598213665597115,59601.70799999999,275.9683293745051,7797.890129999999,36.10585642649775,7641.932327399999,35.38373929796779,58409.67383999999,270.448962787015
72,1976,218.035,51746.40000000001,237.33070378608943,7084.103999999985,32.490673515719884,58830.50399999999,269.8213773018093,7696.99094,35.30163019698672,7545.360218481999,34.60618808210608,57671.543071199994,264.50589616896366
73,1977,220.23899999999998,50891.352,231.0732976448313,7917.6600000000035,35.95030852846228,58809.012,267.0236061732936,7694.179070000001,34.93558847433925,7545.681413949002,34.2613316167845,57673.998068400004,261.87005057414905
74,1978,222.585,52796.40000000002,237.196576588719,7644.899999999972,34.34598018734403,60441.299999999996,271.54255677606307,7907.73675,35.526817844868255,7757.48975175,34.85180830581576,59292.91529999999,266.3832481973178
75,1979,225.055,54269.952000000005,241.14084112772434,7970.363999999972,35.41518295527747,62240.31599999998,276.55602408300183,8143.108009999998,36.18274648419274,7990.831890212998,35.50612912493834,61076.42209079998,271.38442643264966
76,1980,227.726,53795.784,236.23031186601443,7948.667999999991,34.904525614115165,61744.45199999999,271.1348374801296,8078.232469999999,35.47347457031695,7930.400815798999,34.82430998568016,60614.52852839999,266.1730699542432
77,1981,229.966,53407.367999999995,232.24027899776485,7401.072000000015,32.183331448996874,60808.44000000001,264.4236104467617,7955.770900000001,34.59542236678466,7812.567023800001,33.97270476418254,59713.88808000001,259.66398545872005
78,1982,232.188,53456.916,230.23117473771254,7870.62000000001,33.89761744793017,61327.53600000001,264.12879218564274,8023.685960000002,34.55685031095492,7881.666718508001,33.94519406045102,60242.0386128,259.4537125639568
79,1983,234.307,52752.13199999998,225.1410841332098,8219.604000000007,35.08048841904001,60971.73599999999,260.2215725522498,7977.135459999999,34.045655742252684,7839.131016541999,33.45666589791171,59916.92496719999,255.7197393470959
80,1984,236.348,52658.88,222.8023084604058,8818.728000000003,37.31247144041838,61477.608,260.1147799008242,8043.32038,34.031683703691165,7906.58393354,33.45314508072841,60432.488664,255.69282864251016
81,1985,238.466,51626.231999999996,216.49305142032824,9222.563999999991,38.67454479883921,60848.79599999999,255.16759621916745,7961.050809999999,33.38442717200774,7828.101261472999,32.826907238235215,59832.62110679998,250.90629736230733
82,1986,240.651,51604.05600000001,214.43524439956622,9402.707999999977,39.071967288729226,61006.76399999999,253.50721168829543,7981.718289999999,33.16719352921866,7851.616281872999,32.62656827469239,60012.35374679999,249.37504413777623
83,1987,242.804,51106.31999999999,210.48384705359052,10511.975999999995,43.294080822391706,61618.29599999999,253.77792787598221,8061.727059999999,33.20261223044101,7932.739427039999,32.67137043475395,60632.403263999986,249.7174810299665
84,1988,245.021,49587.48000000001,202.38053064839346,10823.016000000003,44.17178935683066,60410.496000000014,246.55232000522412,7903.706560000002,32.25726186735016,7779.618367008002,31.75082285603276,59462.05121280001,242.6814485811421
85,1989,247.342,47670.02399999999,192.72919277761153,10952.160000000018,44.27941878047407,58622.18400000001,237.0086115580856,7669.735740000001,31.00862667884953,7552.388783178001,30.534194690663135,57725.26458480001,233.38237980124688
86,1990,250.132,46566.11285714286,186.1661556983627,11995.229809523786,47.95559868199105,58561.34266666665,234.12175438035376,7661.775665555554,30.630929531429622,7546.849030572221,30.171465588458176,57682.92252666665,230.60992806464844
87,1991,253.493,46230.316,182.37314639851988,12803.443999999996,50.50807714611447,59033.759999999995,232.88122354463437,7723.5836,30.468626747089665,7607.729846,30.01159734588332,58148.2536,229.38800519146486
88,1992,256.894,46147.08,179.63471315017088,13874.579999999987,54.00896867968885,60021.65999999999,233.64368182985973,7852.833849999999,30.568381706073318,7735.041342249999,30.109855980482216,59121.33509999999,230.13902660241183
89,1993,260.255,46263.428,177.76191811876814,14548.076824604723,55.89931730266363,60811.50482460472,233.66123542143177,7956.171881219118,30.57067830097066,7836.829303000832,30.1121181264561,59899.332252235654,230.1563168901103
90,1994,263.436,46128.164000000004,175.1019754323631,15792.610636057463,59.94856677165408,61920.77463605747,235.05054220401718,8101.301348217518,30.752445938358914,7979.781827994256,30.29115924928353,60991.9630165166,231.5247840709569
91,1995,266.557,45927.518412,172.29905203014738,15985.774092042418,59.97131604888417,61913.292504042416,232.27036807903156,8100.32243594555,30.388706490339963,7978.817599406367,29.932875892984864,60984.59311648178,228.7863125578461
92,1996,269.667,46459.43068399999,172.2844496508657,16489.669500398646,61.1482661964521,62949.10018439864,233.43271584731778,8235.840607458822,30.54078032335741,8112.30299834694,30.08266861850705,62004.863681632654,229.931225109608
93,1997,272.912,46384.013116,169.95959545934224,17559.661693561393,64.34184533315279,63943.674809561395,234.30144079249501,8365.964120917617,30.65443850368477,8240.474659103853,30.194621926129496,62984.519687417975,230.78691918060758
94,1998,276.115,47733.09658895237,172.87397131250518,18319.856653904273,66.34864695472638,66052.95324285665,239.22261826723155,8641.928049273745,31.298292556629466,8512.29912853464,30.828818168280026,65062.15894421379,235.63427899322306
95,1999,279.295,49651.37994380953,177.77396639327424,20102.403580645594,71.97552258595962,69753.78352445512,249.74948897923386,9126.120011116214,32.67555814144977,8989.228210949472,32.18542476932803,68707.47677158829,246.00324664454533
96,2000,282.385,50257.966368,177.9767564424456,20535.86923199999,72.72294644545563,70793.83559999999,250.69970288790125,9262.193490999998,32.79987779450041,9123.260588634997,32.3078796275829,69731.928066,246.93920734458274
97,2001,285.309019,51340.232820000005,179.9460563845688,20625.23958000001,72.2908783335728,71965.47240000001,252.23693471814158,9415.482639000002,33.000998958956856,9274.250399415001,32.5059839745725,70885.99031400001,248.45338069736945
98,2002,288.104818,51885.71202,180.09317712972089,21460.64118,74.48900483156793,73346.3532,254.5821819612888,9596.147877000001,33.307835473268625,9452.205658845001,32.808217941169595,72246.15790199999,250.76344923186943
99,2003,290.819634,52986.041796000005,182.19554528426372,21000.120204000006,72.21011839936503,73986.16200000001,254.40566368362877,9679.856195000002,33.2847409986081,9534.658352075003,32.78546988362898,72876.36957000001,250.58957872837433
100,2004,293.463185,52937.851788,180.39009488702987,22463.676611999996,76.54683026765349,75401.5284,256.93692515468337,9865.033299,33.61591437440441,9717.057799515,33.11167565878834,74270.50547399999,253.08287127736307
101,2005,296.186216,52385.359344,176.8662973296502,23163.249456000005,78.20502172187516,75548.6088,255.07131905152534,9884.276318000002,33.37183090924124,9736.012173230001,32.87125344560262,74415.379668,251.24524926575245
102,2006,298.995825,54021.542495999995,180.67657799569605,22973.09150400001,76.83415480466996,76994.634,257.51073280036604,10073.464615,33.69098754138122,9922.362645775002,33.185622728260505,75839.71449,253.6480718083605
103,2007,302.003917,52861.058499999956,175.03434731940897,22633.48314716693,74.94433639139498,75494.54164716689,249.97868371080395,9877.202532171,32.705544452163515,9729.044494188436,32.214961285381065,74362.12352245938,246.22900345514188
104,2008,304.797761,51958.64332799999,170.46924215430832,23278.235704315215,76.37272540304264,75236.8790323152,246.84196755735096,9843.491673394572,32.295157422086746,9695.839298293653,31.810730060755446,74108.32584683047,243.13933804399068
105,2009,307.439406,53566.77558,174.23522988461667,22247.87064045512,72.36505863030166,75814.64622045512,246.60028851491833,9919.082880509544,32.26353774736848,9770.2966373019,31.779584681157953,74677.42652714829,242.90128418719453
106,2010,309.741279,53304.26863199999,172.09287959322978,22945.637423554086,74.08001121979639,76249.90605555408,246.17289081302616,9976.029375601658,32.207619881370924,9826.388934967634,31.72450558315036,75106.15746472076,242.48029745083073
107,2011,311.973914,54140.42850000001,173.54152405191164,22999.027696098667,73.72099609616292,77139.45619609868,247.26252014807457,10092.412185656245,32.350179719373095,9941.026002871402,31.8649270235825,75982.3643531572,243.55358234585347
108,2012,314.167558,56120.589988,178.63267087558418,23395.443503488736,74.46804390760403,79516.03349148874,253.1007147831882,10403.347715136442,33.11401018413379,10247.297499409395,32.61730003137178,78323.29298911641,249.3042040614404
109,2013,316.294766,58939.507064000005,186.34360539497516,23321.941407153892,73.73483191673773,82261.4484711539,260.0784373117129,10762.5395083093,34.02692888161577,10601.101415684661,33.516524948391535,81027.52674408659,256.1772607520372
110,2014,318.576955,60676.403911999994,190.46074413009563,25057.43538490284,78.65426231129254,85733.83929690284,269.1150064413882,11216.843974678122,35.20921334274829,11048.59131505795,34.68107514260707,84447.8317074493,265.0782813447674
111,2015,320.870703,58777.57099999998,183.1814822931964,24335.356914220974,75.84162931266734,83112.92791422096,259.02311160586373,10873.941402110577,33.88885710176718,10710.832281078918,33.38052424524067,81866.23399550765,255.1377649317758
112,2016,323.161011,62300.321359999994,192.78415167478232,27513.38299762604,85.13831205221115,89813.70435762603,277.9224637269935,11750.62632012274,36.36152233761498,11574.366925320897,35.81609950255075,88466.49879226164,273.7536267710886
113,2017,325.20603,65095.02032993751,200.1654776510064,25987.99746095712,79.91240956066258,91083.01779089464,280.07788721166895,11916.694827642048,36.64352357686003,11737.944405227418,36.093870723207125,89716.77252403121,275.87671890349395
114,2018,326.923976,66692.076244,203.99873101996045,27208.71682715515,83.22643435351817,93900.79307115515,287.2251653734786,12285.353760142798,37.578625803030114,12101.073453740655,37.01494641598466,92492.28117508782,282.9167878928764
115,2019,328.475998,67969.31922799998,206.92324444357112,28271.57210218298,86.06891302354147,96240.89133018296,292.9921574671126,12591.516615698938,38.333140601947235,12402.643866463453,37.75814349291802,94797.27796023022,288.5972751051059
116,2020,330.11398,69613.52815199998,210.87724958512808,24881.815818404197,75.37340835551464,94495.34397040418,286.2506579406427,12363.14083612788,37.45112774723409,12177.693723585962,36.88936083102558,93077.91381084811,281.9568980715331
117,2021,332.140523,66942.493028,201.54870722594725,25931.382346442566,78.07352777138419,92873.87537444256,279.6222349973315,12150.998694822902,36.58390907881753,11968.733714400558,36.03515044263526,91480.76724382592,275.42790147237145
